00:00 01:00|  Doctora Juguetes            |  Dottie de seis años, puede hablar con los juguetes y los cura en su clinica.

01:00 02:30|  Efelante                    |  En el bosque de los 100 acres,los efelantes son terribles mounstros,pero Rito el cangurito conocera a Lampi el efelante.

02:30 03:00|  Gigantosaurus               |  el mas grande y feroz dinosaurio es un misterio para cuatro amigos, los cuales trabajran juntos para resolver problemas.

03:00 04:00|  Rugrats,Aventuras en Pañales|  En un mundo de adultos, donde todo es mas grande, los rugrats tendran grandes aventuras.

04:00 05:00|  Pinky Dinky doo             |  Pikny con ayuda de su imaginacion resuelve todo tipo de problemas.

05:00 06:00|  CatDog                      |  Un perro y gato siameses que comparten cuerpo, deberan lidiar con los retos diarios que la vida les pone.

06:00 06:30|  Narigota                    |  Narigota con sus amigos Vaporon y frigote, luchan contra la contaminacion ambiental que produce Germon.

06:30 07:00|  Rolie Polie Olie            |  Rolie Polie Olie - Rolie Polie Olie es un niño robot,que junto con su familia viven en un mundo robot.
	
07:00 07:30|  Gigantosaurus               |  El mas grande y feroz dinosaurio es un misterio para cuatro amigos, los cuales trabajran juntos para resolver problemas.

07:30 08:00|  Clifford,el gran perro rojo |  Las diarias aventuras de Clifford con su dueña Emily.

08:00 09:00|  Rugrats,Aventuras en Pañales|  En un mundo de adultos, donde todo es mas grande, los rugrats tendran grandes aventuras.

09:00 10:00|  CatDog                      |   Un perro y gato siameses que comparten cuerpo, deberan lidiar con los retos diarios que la vida les pone.

10:00 11:00|  Pinky Dinky doo             |  Pikny con ayuda de su imaginacion resuelve todo tipo de problemas.

11:00 13:00|  Dinosaurio                  |  MEFALTAESTE

13:00 13:30|  Gigantosaurus               |  El mas grande y feroz dinosaurio es un misterio para cuatro amigos, los cuales trabajaran juntos para resolver problemas.

14:00 15:00|  Narigota                    |  Narigota con sus amigos Vaporon y frigote, luchan contra la contaminacion ambiental que produce Germon.

15:00 16:00|  Rolie Polie Olie            |  Rolie Polie Olie es un niño robot,que junto con su familia viven en un mundo robot.

16:00 17:00|  Clifford,el gran perro rojo |  Las diarias aventuras de Clifford con su dueña Emily.

17:00 18:00|  Doctora Juguetes            |  Dottie de seis años, puede hablar con los juguetes y los cura en su clinica.

18:00 19:30|  Efelante                    |  En el bosque de los 100 acres,los efelantes son terribles mounstros,pero Rito el cangurito conocera a Lampi el efelante.

19:30 20:00|  Narigota                    |  Narigota con sus amigos Vaporon y frigote, luchan contra la contaminacion ambiental que produce Germon.

20:00 21:00|  Rugrats,Aventuras en Pañales|  En un mundo de adultos, donde todo es mas grande, los rugrats tendran grandes aventuras.

21:00 21:30|  Gigantosaurus               |  Gigantosaurus,el mas grande y feroz dinosaurio es todo un misterio para cuatro amigos, los cuales trabajran juntos para resolver problemas.

21:30 22:00|  Narigota                    |  Narigota con sus amigos Vaporon y frigote, luchan contra la contaminacion ambiental que produce Germon.

22:00 00:00|  CatDog                      |  Un perro y gato siameses que comparten cuerpo, deberan lidiar con los retos diarios que la vida les pone.
